onset	duration	trial_type	stim_id	stim_file	stim_nsd_id	button_press
0	2	blank	n/a	n/a	n/a	0
4	2	blank	n/a	n/a	n/a	0
8	2	blank	n/a	n/a	n/a	0
12	2	stimulus	118	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-018_nsd-031122.png	31122	0
16	2	stimulus	19	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-019_nsd-024701.png	24701	0
20	2	stimulus	18	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-018_nsd-023465.png	23465	0
24	2	stimulus	66	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-016_nsd-027571.png	27571	0
28	2	stimulus	104	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-004_nsd-011068.png	11068	0
32	2	catch	151	catch_images/catch_08.png	n/a	1
36	2	stimulus	135	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-035_nsd-052792.png	52792	0
40	2	stimulus	95	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-045_nsd-066763.png	66763	0
44	2	stimulus	12	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-012_nsd-018576.png	18576	0
48	2	stimulus	136	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-036_nsd-054637.png	54637	0
52	2	blank	n/a	n/a	n/a	0
56	2	stimulus	28	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-028_nsd-046226.png	46226	0
60	2	catch	151	catch_images/catch_01.png	n/a	1
64	2	stimulus	137	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-037_nsd-056345.png	56345	0
68	2	stimulus	106	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-006_nsd-017513.png	17513	0
72	2	stimulus	81	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-031_nsd-047554.png	47554	0
76	2	stimulus	150	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-050_nsd-072386.png	72386	0
80	2	stimulus	131	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-031_nsd-046580.png	46580	0
84	2	stimulus	143	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-043_nsd-065075.png	65075	0
88	2	stimulus	58	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-008_nsd-009803.png	9803	0
92	2	stimulus	134	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-034_nsd-049287.png	49287	0
96	2	stimulus	17	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-017_nsd-023374.png	23374	0
100	2	stimulus	141	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-041_nsd-062322.png	62322	0
104	2	blank	n/a	n/a	n/a	0
108	2	stimulus	97	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-047_nsd-067918.png	67918	0
112	2	stimulus	65	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-015_nsd-024598.png	24598	0
116	2	stimulus	111	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-011_nsd-026416.png	26416	0
120	2	stimulus	34	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-034_nsd-054089.png	54089	0
124	2	stimulus	107	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-007_nsd-017700.png	17700	0
128	2	stimulus	142	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-042_nsd-064359.png	64359	0
132	2	stimulus	63	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-013_nsd-017624.png	17624	0
136	2	stimulus	53	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-003_nsd-003167.png	3167	0
140	2	stimulus	72	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-022_nsd-032861.png	32861	0
144	2	stimulus	35	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-035_nsd-056084.png	56084	0
148	2	stimulus	36	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-036_nsd-058307.png	58307	0
152	2	stimulus	23	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-023_nsd-032774.png	32774	0
156	2	blank	n/a	n/a	n/a	0
160	2	stimulus	127	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-027_nsd-040751.png	40751	0
164	2	stimulus	115	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-015_nsd-027888.png	27888	0
168	2	stimulus	39	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-039_nsd-061705.png	61705	0
172	2	stimulus	11	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-011_nsd-018147.png	18147	0
176	2	stimulus	88	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-038_nsd-057319.png	57319	0
180	2	stimulus	8	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-008_nsd-012621.png	12621	0
184	2	stimulus	73	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-023_nsd-035769.png	35769	0
188	2	stimulus	74	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-024_nsd-038750.png	38750	0
192	2	stimulus	112	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-012_nsd-026665.png	26665	0
196	2	blank	n/a	n/a	n/a	0
200	2	stimulus	128	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-028_nsd-042106.png	42106	0
204	2	stimulus	96	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-046_nsd-067143.png	67143	0
208	2	stimulus	92	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-042_nsd-061784.png	61784	0
212	2	stimulus	15	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-015_nsd-021860.png	21860	0
216	2	stimulus	55	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-005_nsd-007884.png	7884	0
220	2	stimulus	130	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-030_nsd-046225.png	46225	0
224	2	stimulus	124	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-024_nsd-034839.png	34839	0
228	2	stimulus	24	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-024_nsd-033154.png	33154	0
232	2	stimulus	148	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-048_nsd-070590.png	70590	0
236	2	stimulus	144	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-044_nsd-067408.png	67408	0
240	2	stimulus	70	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-020_nsd-031700.png	31700	0
244	2	blank	n/a	n/a	n/a	0
248	2	catch	151	catch_images/catch_06.png	n/a	1
252	2	stimulus	49	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-049_nsd-072423.png	72423	0
256	2	stimulus	120	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-020_nsd-031740.png	31740	0
260	2	stimulus	126	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-026_nsd-039245.png	39245	0
264	2	stimulus	119	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-019_nsd-031536.png	31536	0
268	2	stimulus	64	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-014_nsd-022917.png	22917	0
272	2	stimulus	78	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-028_nsd-043784.png	43784	0
276	2	stimulus	29	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-029_nsd-046560.png	46560	0
280	2	stimulus	52	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-002_nsd-000889.png	889	0
284	2	stimulus	56	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-006_nsd-008343.png	8343	0
288	2	stimulus	116	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-016_nsd-029497.png	29497	0
292	2	stimulus	91	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-041_nsd-061307.png	61307	0
296	2	stimulus	80	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-030_nsd-046024.png	46024	0
300	2	catch	151	catch_images/catch_05.png	n/a	1
304	2	blank	n/a	n/a	n/a	0
308	2	stimulus	7	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-007_nsd-012349.png	12349	0
312	2	stimulus	109	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-009_nsd-020022.png	20022	0
316	2	stimulus	85	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-035_nsd-049531.png	49531	0
320	2	stimulus	32	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-032_nsd-050094.png	50094	0
324	2	stimulus	138	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-038_nsd-058631.png	58631	0
328	2	stimulus	94	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-044_nsd-065549.png	65549	0
332	2	stimulus	27	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-027_nsd-043879.png	43879	0
336	2	stimulus	4	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-004_nsd-005749.png	5749	0
340	2	blank	n/a	n/a	n/a	0
344	2	stimulus	122	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-022_nsd-033231.png	33231	0
348	2	stimulus	1	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-001_nsd-000556.png	556	0
352	2	stimulus	83	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-033_nsd-049045.png	49045	0
356	2	stimulus	54	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-004_nsd-005622.png	5622	0
360	2	stimulus	37	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-037_nsd-058829.png	58829	0
364	2	stimulus	33	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-033_nsd-052285.png	52285	0
368	2	stimulus	42	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-042_nsd-064023.png	64023	0
372	2	stimulus	132	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-032_nsd-046631.png	46631	0
376	2	catch	151	catch_images/catch_06.png	n/a	1
380	2	stimulus	139	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-039_nsd-058927.png	58927	0
384	2	stimulus	26	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-026_nsd-040897.png	40897	0
388	2	stimulus	16	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-016_nsd-022832.png	22832	0
392	2	stimulus	71	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-021_nsd-032603.png	32603	0
396	2	blank	n/a	n/a	n/a	0
